userId,movieId,rating
8,553,5
8,587,4
8,588,3
8,589,5
8,590,5
8,592,4
8,593,5
8,595,3
8,597,5
8,610,4
8,648,5
8,733,4
9,356,4
9,858,5
9,1219,3
9,1911,3
9,1923,4
9,1997,5
10,1,4
10,11,4
10,25,4
10,260,4
10,356,3
10,527,5
10,858,5
10,912,4
10,969,4
10,1094,3
10,1136,4
10,1196,4
10,1198,4
10,1204,3
10,1208,4
10,1210,4
10,1221,5
10,1222,3
10,1230,4
10,1240,4
10,1242,4
10,1247,5
10,1250,4
10,1304,3
10,1387,5
10,1721,4
10,1960,3
